genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9	G386_10
osk	0	2	10	1042	0	74	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	69	0	0	0	1	0	0	0	70	0	0	0	0	4	0	426	0	5	8	0	0	0	29	0	0	0	0	93	154	26	0	0	0	1	0	0	95
per	57	0	9	560	16	30	2	0	241	122	16	37	156	0	50	23	1	39	9	21	18	33	55	116	32	22	47	83	21	37	59	32	32	27	28	8	62	53	57	67	37	53	48	206	0	0	302	169	0	16	0	62	3	0	27	58	311	0	120	0	46	0	0	151	1	0	0	35	117	0
Phm	4432	3815	3148	9917	6762	1645	1314	4354	9998	3558	5399	2612	7346	5909	1685	3638	2406	2488	2970	4338	439	1027	962	2505	1432	4292	1195	2489	1570	986	1831	6459	4782	1971	2455	595	3966	4923	4600	3317	1608	6028	1598	1736	2972	422	3216	2185	945	1478	1738	2741	2534	455	1091	1936	1255	334	572	2068	1006	289	161	4203	1529	1792	757	687	357	428
Pink1	113	721	335	2039	12	1124	37	781	231	265	315	829	2481	530	92	428	343	358	185	681	128	170	235	566	204	174	95	707	368	137	251	690	411	217	249	37	275	716	290	224	145	489	382	247	174	55	206	348	31	65	4	280	656	150	112	0	100	403	0	52	14	679	130	86	154	94	162	201	424	503
Pka-C1	2395	3447	3099	10320	1159	5181	3749	1892	2680	2538	8305	8218	12338	8123	5812	6138	20979	14832	11140	9796	19693	46789	31099	44703	44006	34114	36336	34665	23455	42089	53392	54366	39922	43464	58181	27564	46839	64839	50069	52870	48237	56670	5928	4938	5141	2104	7299	5129	3332	5282	2340	6440	1636	3712	1976	4244	1426	3579	1268	2231	1377	1610	2174	3590	2259	2212	1331	3618	3078	1574
Pka-R1	1323	1401	1410	4925	3719	1814	2275	2764	2560	3051	5307	5077	9021	4155	2123	3536	4261	8515	6092	6958	4218	8838	5399	10257	9390	5787	5439	8510	4231	5719	10809	23120	14344	11244	15769	4475	14432	15180	12029	14208	9728	15611	1990	1354	3467	887	1462	1908	253	1854	1125	1191	1721	752	1126	513	1304	904	784	6	1605	1310	1867	3340	686	463	810	2040	503	82
Pkc98E	1439	2155	1484	7472	1295	838	1827	2921	1542	920	5530	3339	7010	4379	3770	2780	5082	4133	3071	3603	2899	3246	4251	7278	4528	4679	4420	6143	2830	3871	6823	10229	6511	5797	5604	2427	6490	10175	6652	5806	5007	9152	2005	2439	2166	324	4098	2114	2130	3553	1646	2228	629	576	1735	1332	598	599	505	1266	420	206	327	1106	895	1616	225	1411	276	2
Pp1-87B	2572	1316	2091	6565	2446	2419	1712	2269	3812	1088	5843	3335	8462	2826	2337	3781	4613	4850	3878	5206	703	2606	822	4263	2451	3724	1317	3067	2148	1587	2509	7399	3757	3450	4652	1012	5723	4139	5125	4506	2324	6681	1050	1792	3214	1446	4649	1686	778	1899	974	1096	1243	1348	904	1511	587	750	705	795	816	294	1122	2334	1212	1949	282	2386	1419	1358
PQBP1	269	0	171	305	1	230	251	732	102	101	2	243	875	481	136	814	446	417	246	526	88	173	98	449	205	75	108	171	92	94	209	335	331	276	262	71	334	420	557	229	209	638	147	405	39	0	535	86	0	339	1	72	362	32	502	16	0	0	0	20	0	387	492	805	53	391	135	0	0	0
prt	426	1	379	242	663	124	13	247	409	261	162	351	1265	41	2	112	1689	1064	511	276	1266	1823	1817	4098	2233	2791	1161	4569	2894	2514	2059	5278	3291	2006	2505	969	2438	4923	2897	2547	1978	4031	0	23	0	1	0	28	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	11	0	1	147	0	4	0
