genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9
FoxP	8.209113117000001	9.209453663	9.068946581	9.22530747	8.539411884	8.399733508999999	9.915840942	9.795584771	8.381117289	9.012030932	9.232001152	10.06474499	9.571940044	9.365164449	10.08763615	9.5462993	9.061154047	9.690371489	9.791884807	8.470600474	10.28529296	9.390108407	9.967893488	9.749002943999999	9.635644676	8.786650689	9.799893027000001	9.457662949	9.345293327	10.14536944	9.585098295	8.564780368	9.510781706	9.242033857000001	9.539832091000001	9.20519913	8.847361759	9.360356772000001	9.373971885	9.217355254	9.403384667000001	9.141403132	9.722907059	9.436538365	9.902981283999999	9.060820299	9.024044792	9.0414233	9.616725971000001	9.181641963999999	10.10844056	8.881632884	9.009494405	8.248594021	8.688243403	9.187966834	8.546737097000001	7.790775072000001	7.219771545	8.675863424	6.193265745	10.06456741	9.909973247	9.088689353	8.038686526000001	9.589644155	7.577766231	7.562108602	7.4269468970000005
futsch	11.6527114	12.02986815	11.67399451	12.29122849	12.00961366	11.12527364	11.27560872	11.13963136	12.23630039	11.39648026	11.95978584	12.0756656	11.90897235	12.59949982	11.82451548	12.43566089	12.16558339	12.26247697	12.55852184	12.19776618	12.25685459	12.75017245	12.59866742	12.09280207	12.39598046	12.61320757	12.72616018	12.09842396	11.90711198	12.29662188	12.50622985	11.77378834	12.04121108	12.27857728	12.031699900000001	12.1892033	12.06928304	12.23562986	11.96763399	11.99661944	12.13151696	12.04329161	12.27123406	12.65480481	12.67434859	12.58923246	12.25465292	12.63058829	12.55515561	12.81169716	12.688262199999999	12.54917268	12.16754623	12.62376971	11.73142159	12.90887319	12.840091900000001	12.41235289	11.74355242	12.38215645	11.74272675	12.1815382	12.68577926	12.32207366	12.73207082	11.91810331	11.79966934	13.64176228	11.36540272
G9a	9.453316968	9.708053688	8.471583767	9.25256921	9.705075899	7.601743055	8.874082247999999	9.123097272	9.389245281	8.659486786	9.265422007	9.575994046	9.505278602	9.535901801	8.914675617999999	9.235578072000001	8.638674276	9.02666511	9.510941472999999	9.192101683999999	9.848804367	9.806397945	9.813286647	9.228000145	9.560389097	9.357381234	9.802422742000001	9.300828379	9.036016726	9.531609728	9.671976182	9.155152244	9.543257397	9.660628441	9.610583397000001	9.803325087000001	9.242615543	9.620965172	9.474708412	9.478257078	9.657794582000001	9.085004612	8.9511699	10.00961285	8.97358801	9.168945411000001	8.582615998	9.260513472000001	8.901928086	8.714015825	8.79206465	9.185492727	9.973225752000001	7.920644268999999	8.187753286	8.804020598	6.672536862	6.397660792999999	8.854280283	9.082761239	6.769311158	8.676991458	9.110950293	9.106488132	8.375424889	8.151310866000001	7.196833775	8.445481532999999	6.367039939
Gad1	8.280061361	12.038496499999999	11.93322457	6.440455933	7.416974652	10.87678814	12.85067118	12.49277371	7.2367895529999995	8.978637818	9.89607764	7.6385962560000005	5.428506047000001	6.281770116000001	8.366509837999999	10.95903239	6.66268244	5.806923976	7.789522117000001	10.1360146	9.022338172000001	6.042938904	7.173158896	8.958784073	5.79118995	5.448075137000001	10.64158275	5.7143525870000005	6.9947747289999995	8.692760537	7.8767198810000005	5.575000255	6.226797707999999	7.759175975	5.693750975	5.384864536	5.305307599999999	5.379362695	5.5940869829999995	7.927425775	6.731535046	7.986458335	11.13044624	12.416769	6.776034254	10.92209526	6.340807422	10.98702255	11.36986931	11.74932121	9.678937959	9.234054818999999	11.32224443	5.760888031	7.314120886	10.638378	11.05314246	5.41596486	5.710030057000001	7.586640168	9.406344516	8.749034686	6.888093264	9.205919657	5.337641801	5.4201271570000005	10.21877729	6.997170119	6.105988787
Gclm	7.737728578	8.008620735	8.742332931	8.099492198	5.377211302999999	9.115574196	7.197899343	7.72954458	7.844715122999999	8.038191982999999	8.371184964	7.537937259	7.882538099	7.849084907000001	7.628369945	6.7620343510000005	7.097293014	6.365354987000001	6.653920568999999	7.588270787000001	7.138278341	7.125314699	6.869360594	7.354327416	7.292468479	7.58851416	7.688325705	7.78127156	7.779101217000001	7.244670329	6.62049253	7.625674127000001	7.157014511	6.75181913	7.1206483270000005	6.9385627560000005	7.494194175	7.329745426000001	7.45289479	7.326552626000001	6.792614236	7.434037946	7.199499776000001	6.946264118999999	8.92616371	9.59386195	8.073000606	8.19236779	5.553647133999999	6.925884754	8.128310042	7.687472787000001	8.161001927000001	9.429533479	9.548771583999999	8.162379383	6.230443379	5.5467273089999996	5.383956102999999	5.341816123	8.661729777	5.285598008	8.204892659	8.246874769	8.911387524	6.228138987	9.511361354	7.030577854	5.458413478
gish	10.75403687	11.45203466	11.13968102	11.51057484	10.77564721	9.794574352	11.13997398	10.4275035	10.84660312	10.86295311	10.83018777	11.35450772	11.20071517	11.72751747	11.1043883	11.49699183	11.66557751	11.50372733	11.7212382	11.24940487	11.52176412	11.87267316	11.77875085	11.60352089	11.70268242	11.39907084	12.11169203	11.12707818	11.19636269	11.89734596	12.0997585	12.06027734	12.19543694	12.10303402	12.24704353	12.43419541	12.10368249	12.12506063	12.2285746	12.31692056	12.49287739	12.04550201	10.90450579	11.87427489	11.37903876	10.92699451	11.4302653	11.70727293	10.95317036	11.52409489	11.10868524	11.6957669	10.02310304	10.531498599999999	10.26179437	10.92334011	10.65468136	10.87455956	10.25484393	10.11624677	8.771008618	10.18522736	10.84609048	10.22327319	11.03585788	9.687626315	10.43467942	11.0424364	10.71901889
Gld2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6074241869999994	3.1178637819999997	4.13405266	3.7647678819999997	3.479896451	0.788771077	4.753402121000001	3.077396587	0.27963774399999997	2.535652359	3.650157876	2.3233446669999998	1.247204887	2.226989332	3.234981559	2.99472812	3.271610864	3.851786985	3.008751115	2.415024895	2.240659966	3.7536330239999995	5.3236339280000005	4.7316679719999994	2.3465695369999997	7.766972952000001	0.085615267	4.98047209	5.014094127	0.17213394899999998	6.630485765	0.19462383100000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gry	5.164281588	2.485000583	2.498370738	6.193793675	5.037224125	3.325694589	5.045543845	7.223341678	3.9526065839999998	2.251483726	3.467374655	4.407560828	5.045587979	2.379247508	2.194092757	4.470645023	3.0796747589999995	5.260164028999999	5.718346925	5.332432917	3.3868859110000002	4.473011222	5.658885347999999	6.123584786	5.617070192000001	2.204105382	5.004114336000001	5.285885811	5.735060638999999	5.380747566	4.793352742	5.723125096	4.909960948	4.87077414	4.329461702	4.617113133	5.7716652889999995	5.509587972	5.154549355	4.787410082	3.863951633	5.424869982000001	5.383753143	6.439484511	4.804140099	5.686693898	4.5876271	2.213234877	2.247712385	2.205244682	7.188466576000001	6.024096514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.745602623	2.257661227	2.733486311	2.198334386	6.64458648	6.289742941	2.3192606540000003	2.2016587309999998	2.372492969
HDAC4	9.038340656	9.229799645	9.071844397000001	9.132315812	8.431223317999999	9.035385702000001	9.635681741	9.062612117	8.287656416	9.102504453	9.530406315	9.594785827	10.04624262	9.317644201	9.759327172999999	9.350067173	9.789869068	9.816694451	9.518699208	9.196295955	11.04044498	10.38829577	10.73246313	10.1346529	10.47711594	9.564133722000001	10.55831143	10.43508436	10.48589585	11.22561033	10.72144196	9.957531952	10.15348852	10.27580452	10.52387506	11.08938597	10.0289469	10.52199349	10.08404954	10.26212251	10.71325511	9.987598337	9.352172834	9.946622891	9.069208048	8.430743526	9.138584672999999	9.744112717	9.924067754	9.266613196	9.161646866	8.737325362	9.003473422	8.740004328	8.593929523	8.686967743	9.363219726	9.338060172	9.052534402000001	6.967736697	9.642085613999999	7.755849528	8.531394957	9.208336606	8.673373115	8.195893715	7.802726853999999	8.392525565	7.567533712
hiw	6.279818505	6.263833806	7.236756205	7.897672946	6.260060085	4.74126048	7.144806721	7.507638169	7.079119305	6.755234357999999	6.543159129	7.314286431	7.044578077000001	8.077865953	7.80729912	7.447197706	7.582594531	7.955178214	7.71059515	7.072707756000001	6.50932983	7.545167594	6.884124773	7.5812776589999995	7.1278331989999995	7.673499639	8.282805931	7.545368095	7.208593232	7.542997722999999	7.315688827000001	8.116098337	7.992198533	7.2929399539999995	6.8261324420000005	7.053471117000001	7.265246147999999	8.413725004	7.263724400000001	7.475197652	7.202481957000001	7.731416376	6.464251891	6.964417482999999	6.135262295	3.993211895	6.347313035	7.073659011	4.014856619	6.723538916	7.778114573	7.482373279	3.450822645	6.500037407000001	6.754350359	6.080468314	3.96974963	8.140570151	3.72560562	3.450459188	3.4919708239999996	3.65254283	5.959796036	6.660975721000001	6.450237248	6.3942681310000005	7.086340745	7.327353713	3.528374565
